img_name,x_min,y_min,x_max,y_max,label,prob
000000000632,601.1,419.1,640.3,479.3,unknown,0.797
000000000632,29.5,76.0,612.8,409.1,unknown,0.773
000000000632,154.0,218.4,179.6,228.7,unknown,0.759
000000000632,634.2,293.7,640.5,417.2,unknown,0.758
000000000632,505.4,295.1,514.5,306.3,unknown,0.758
000000000632,260.4,236.4,376.6,289.9,unknown,0.750
000000000632,6.5,291.5,165.5,335.7,unknown,0.750
000000000632,118.7,217.8,139.1,233.3,unknown,0.748
000000000632,634.5,110.1,640.2,182.8,unknown,0.747
000000000632,183.0,105.0,192.4,118.8,unknown,0.746
000000000632,0.6,266.1,25.0,285.5,unknown,0.742
000000000632,630.3,80.0,641.0,429.8,unknown,0.735
000000000632,428.4,44.4,461.2,79.0,unknown,0.734
000000000632,239.7,269.4,259.3,303.3,unknown,0.729
000000000632,247.0,263.0,262.2,293.8,unknown,0.728
000000000632,257.9,229.4,269.8,242.1,unknown,0.724
000000000632,321.1,242.6,397.5,286.7,unknown,0.721
000000000632,629.0,109.8,640.7,128.9,unknown,0.718
000000000632,489.4,92.0,515.5,125.8,unknown,0.715
000000000632,246.2,269.5,267.0,312.0,unknown,0.714
000000004134,237.5,44.3,582.7,422.8,person,0.786
000000004134,246.3,204.1,593.1,406.0,unknown,0.763
000000004134,60.5,45.4,298.2,423.9,unknown,0.762
000000004134,229.0,58.8,570.3,412.2,unknown,0.760
000000004134,45.7,42.2,284.5,423.9,person,0.745
000000004134,456.1,128.2,477.6,163.7,unknown,0.745
000000004134,470.8,113.6,521.4,176.0,unknown,0.744
000000004134,327.2,146.8,355.9,209.1,unknown,0.741
000000004134,189.1,123.4,224.9,257.5,unknown,0.730
000000004134,92.7,394.9,269.5,425.0,unknown,0.729
000000004134,323.4,137.9,419.3,202.8,unknown,0.725
000000004134,6.5,116.6,77.1,264.4,unknown,0.725
000000004134,605.6,271.6,637.7,414.0,unknown,0.724
000000004134,470.8,112.0,508.7,163.6,unknown,0.719
000000004134,237.0,131.1,271.0,205.3,unknown,0.719
000000004134,241.5,131.6,278.7,208.2,unknown,0.718
000000004134,348.3,140.3,375.0,189.2,unknown,0.716
000000004134,197.8,126.4,234.4,256.7,unknown,0.715
000000004134,577.4,110.5,638.5,263.2,unknown,0.709
000000004134,197.2,128.7,221.6,177.7,unknown,0.707
000000013201,93.9,93.7,325.1,505.3,person,0.785
000000013201,100.3,116.1,323.4,513.9,unknown,0.769
000000013201,408.2,585.2,430.1,640.6,unknown,0.768
000000013201,100.3,194.1,333.7,510.1,unknown,0.767
000000013201,100.1,100.8,320.9,449.9,unknown,0.764
000000013201,7.6,144.0,420.4,452.4,unknown,0.764
000000013201,82.4,319.0,109.6,343.7,unknown,0.757
000000013201,105.5,477.8,155.4,526.0,unknown,0.751
000000013201,253.4,266.2,290.9,339.6,unknown,0.750
000000013201,117.0,116.5,226.3,337.5,unknown,0.748
000000013201,111.4,440.8,169.2,511.9,unknown,0.747
000000013201,119.2,160.9,198.8,374.0,unknown,0.744
000000013201,253.9,264.2,286.6,335.2,unknown,0.742
000000013201,0.4,141.8,30.2,267.3,unknown,0.741
000000013201,93.2,117.9,298.6,518.2,unknown,0.741
000000013201,264.0,264.1,301.6,339.2,unknown,0.738
000000013201,2.1,301.2,24.5,347.4,unknown,0.735
000000013201,82.6,311.8,109.1,338.0,unknown,0.735
000000013201,108.0,439.6,158.0,503.6,unknown,0.733
000000013201,425.6,248.2,427.5,354.0,unknown,0.733
000000014439,599.4,355.7,637.1,402.8,unknown,0.789
000000014439,510.7,120.1,595.8,272.9,unknown,0.743
000000014439,56.9,21.4,70.5,33.4,unknown,0.738
000000014439,515.7,114.8,597.9,273.0,unknown,0.737
000000014439,98.3,50.3,112.8,77.9,unknown,0.726
000000014439,418.5,108.3,490.0,276.2,unknown,0.724
000000014439,421.1,73.6,508.0,276.8,unknown,0.719
000000014439,504.9,110.8,597.6,272.0,person,0.710
000000014439,28.4,119.8,57.0,152.8,unknown,0.708
000000014439,250.7,13.8,266.8,32.2,unknown,0.707
000000014439,416.7,87.7,509.1,286.9,person,0.700
000000014439,488.2,46.1,625.0,141.2,unknown,0.697
000000014439,624.8,23.2,641.4,55.1,unknown,0.694
000000014439,241.4,96.9,253.6,119.8,unknown,0.694
000000014439,578.6,9.3,605.0,37.5,unknown,0.681
000000014439,242.6,96.0,254.8,120.3,unknown,0.678
000000014439,105.3,46.2,127.0,92.9,unknown,0.677
000000014439,38.1,76.5,193.1,160.0,unknown,0.671
000000014439,256.9,103.6,276.1,156.6,unknown,0.664
000000014439,639.6,83.9,640.1,374.3,unknown,0.664
000000020107,127.1,176.1,329.1,494.5,unknown,0.751
