img_name,x_min,y_min,x_max,y_max,label,prob,scaled_size
00000018,247.8547,37.5,395.7344,295.8333,unknown,1.0,(750|1333)
00000018,281.1797,610.4166,381.1547,718.75,unknown,1.0,(750|1333)
00000018,104.1406,439.5833,345.7469,733.3333,person,1.0,(750|1333)
00000018,345.7469,658.3334,381.1547,716.6667,person,1.0,(750|1333)
00000018,310.3391,143.75,633.1749,739.5833,person,1.0,(750|1333)
000000000139,442.8687,266.6666,491.6594,400.0,unknown,1.0,(800|1201)
000000000139,13.1359,313.615,294.6203,493.8967,unknown,1.0,(800|1201)
000000000139,1045.2452,392.4882,1199.1234,540.845,unknown,1.0,(800|1201)
000000000139,671.8094,409.3896,778.7734,602.8169,unknown,1.0,(800|1201)
000000000139,544.2031,409.3896,662.4266,595.3052,unknown,1.0,(800|1201)
000000000139,775.0204,418.7793,833.1938,572.77,unknown,1.0,(800|1201)
000000000139,594.8703,411.2676,636.1547,433.8029,unknown,1.0,(800|1201)
000000000139,773.1437,294.8357,874.4781,555.8685,person,1.0,(800|1201)
000000000139,720.6,323.0047,750.625,390.6103,person,1.0,(800|1201)
000000000139,960.8,384.9765,988.9484,416.9015,unknown,1.0,(800|1201)
000000000139,925.1454,326.7605,964.5532,531.4554,unknown,1.0,(800|1201)
000000000139,1133.4437,572.7699,1163.4688,661.0328,unknown,1.0,(800|1201)
000000000139,1150.3328,578.4037,1176.6047,666.6666,unknown,1.0,(800|1201)
000000000139,838.8234,227.23,866.9719,270.4225,unknown,1.0,(800|1201)
000000000139,1030.2328,580.2816,1099.6656,751.1737,unknown,1.0,(800|1201)
000000000139,656.7968,390.6103,681.1922,435.6807,unknown,1.0,(800|1201)
000000000139,773.1437,411.2676,791.9094,435.6807,unknown,1.0,(800|1201)
000000000139,452.2516,364.3192,480.4,400.0,unknown,1.0,(800|1201)
000000000139,630.525,373.7089,651.1671,407.5117,unknown,1.0,(800|1201)
000000000139,602.3765,433.8028,838.8234,602.8169,unknown,1.0,(800|1201)
000000000285,1.3651,92.7563,801.3653,863.4516,bear,1.0,(873|800)
000000000632,4.9687,440.5797,670.7812,788.4058,unknown,1.0,(800|1060)
000000000632,303.0938,225.2588,405.7812,379.2961,unknown,1.0,(800|1060)
000000000632,753.5938,318.0124,770.1562,379.2961,unknown,1.0,(800|1060)
000000000632,750.2812,417.3914,765.1875,475.3623,unknown,1.0,(800|1060)
000000000632,735.375,491.9254,746.9688,559.8343,unknown,1.0,(800|1060)
000000000632,836.4062,316.3561,859.5938,377.6398,unknown,1.0,(800|1060)
000000000632,806.5937,329.6066,819.8438,377.6398,unknown,1.0,(800|1060)
000000000632,404.125,380.9524,579.6875,528.3644,unknown,1.0,(800|1060)
000000000632,574.7187,351.1387,712.1875,589.6481,unknown,1.0,(800|1060)
000000000632,761.875,316.3561,813.2188,377.6398,unknown,1.0,(800|1060)
000000000632,872.8438,410.766,914.25,480.3312,unknown,1.0,(800|1060)
000000000632,859.5938,319.6687,867.875,377.6398,unknown,1.0,(800|1060)
000000000632,823.1562,91.0973,831.4375,137.4741,unknown,1.0,(800|1060)
000000000632,867.8749,160.6625,874.5,225.2588,unknown,1.0,(800|1060)
000000000632,816.5312,256.7288,871.1876,269.9793,unknown,1.0,(800|1060)
000000000632,751.9375,405.7971,834.75,427.3292,unknown,1.0,(800|1060)
000000000632,763.5312,419.0476,780.0938,475.3623,unknown,1.0,(800|1060)
000000000632,689.0,71.2215,944.0625,574.7412,unknown,1.0,(800|1060)
000000000724,256.0,151.372,544.0,479.7,unknown,1.0,(1066|800)
000000000724,262.4,594.828,311.4667,660.92,truck,1.0,(1066|800)
000000000724,273.0667,569.244,302.9333,588.432,car,1.0,(1066|800)
000000000724,430.9333,552.1879,473.6001,609.752,unknown,1.0,(1066|800)
000000000776,1.8692,104.65,646.7289,986.7,unknown,1.0,(1196|800)
000000000776,3.7384,519.5125,600.0,1182.9187,unknown,1.0,(1196|800)
000000000776,175.701,9.3438,800.0,1029.6813,unknown,1.0,(1196|800)
000000000776,1.8692,0.0,801.8692,1197.8688,unknown,1.0,(1196|800)
000000000785,526.75,82.8235,940.625,737.8824,person,1.0,(800|1204)
000000000785,385.6562,681.4117,1158.85,754.8236,unknown,1.0,(800|1204)
000000000802,462.2642,348.8984,775.4717,1022.178,unknown,1.0,(1207|800)
000000000802,62.2641,545.0359,301.8868,982.5734,unknown,1.0,(1207|800)
000000000872,525.6039,221.45,551.3687,243.3375,unknown,1.0,(824|800)
000000000872,186.7955,128.75,564.2512,719.7125,person,1.0,(824|800)
000000000872,209.9839,162.225,553.9453,781.5125,person,1.0,(824|800)
000000000872,474.0741,202.1375,550.0805,262.65,unknown,1.0,(824|800)
000000000885,518.9422,354.0984,783.0969,747.541,person,1.0,(800|1199)
000000000885,526.436,166.7448,736.2609,487.1194,person,1.0,(800|1199)
000000000885,1114.6953,46.8384,1199.0,475.8782,person,1.0,(800|1199)
000000000885,813.0718,0.0,876.7687,26.2295,person,1.0,(800|1199)
000000000885,537.6766,0.0,623.8547,22.4824,person,1.0,(800|1199)
000000000885,749.375,502.1078,902.9968,578.9228,unknown,1.0,(800|1199)
000000000885,1013.5298,1.8735,1139.05,22.4824,person,1.0,(800|1199)
000000000885,1.8734,0.0,114.2797,18.7354,person,1.0,(800|1199)
000000000885,934.8453,0.0,1077.2266,28.103,person,1.0,(800|1199)
000000001000,78.2844,505.0,158.2344,651.6666,unknown,1.0,(800|1066)
000000001000,33.3125,376.6666,123.2563,581.6666,unknown,1.0,(800|1066)
000000001000,326.4625,373.3333,446.3875,570.0,unknown,1.0,(800|1066)
000000001000,191.5468,253.3333,331.4594,635.0,person,1.0,(800|1066)
000000001000,674.5781,200.0,739.5375,276.6666,person,1.0,(800|1066)
000000001000,441.3906,158.3333,591.2969,686.6667,person,1.0,(800|1066)
000000001000,348.1156,290.0,514.6781,706.6666,person,1.0,(800|1066)
000000001000,839.475,318.3333,1067.6656,801.6666,person,1.0,(800|1066)
000000001000,682.9062,346.6667,876.1187,801.6666,person,1.0,(800|1066)
000000001000,632.9375,265.0,782.8438,800.0,person,1.0,(800|1066)
000000001000,549.6562,256.6666,689.5688,781.6666,person,1.0,(800|1066)
000000001000,682.9062,178.3333,831.1469,381.6667,person,1.0,(800|1066)
000000001000,304.8093,201.6667,466.375,658.3334,person,1.0,(800|1066)
000000001000,348.1157,271.6666,453.05,370.0,unknown,1.0,(800|1066)
000000001000,69.9562,371.6667,164.8969,458.3333,unknown,1.0,(800|1066)
000000001000,86.6125,308.3333,186.55,663.3333,person,1.0,(800|1066)
000000001000,581.3032,196.6667,671.2469,266.6667,person,1.0,(800|1066)
000000001268,359.7,419.6721,502.0812,485.2459,bird,1.0,(800|1199)
000000001268,232.3063,232.3185,496.4609,266.0422,boat,1.0,(800|1199)
000000001268,0.0,241.6862,198.5844,271.6628,boat,1.0,(800|1199)
000000001268,43.0891,399.0633,144.2547,530.2108,person,1.0,(800|1199)
000000001268,938.5922,144.2623,1200.8734,790.6323,person,1.0,(800|1199)
000000001268,753.1219,384.075,876.7687,550.8197,person,1.0,(800|1199)
000000001268,0.0,391.5691,46.8359,543.3256,person,1.0,(800|1199)
000000001268,989.175,337.2366,1047.2515,374.7073,unknown,1.0,(800|1199)
000000001268,39.3422,432.7869,84.3047,530.2108,unknown,1.0,(800|1199)
000000001268,921.7313,369.0867,1116.5687,798.1265,unknown,1.0,(800|1199)
000000001268,545.1703,161.1241,775.6031,269.7893,boat,1.0,(800|1199)
000000001296,560.1873,267.9016,696.9555,522.6891,unknown,1.0,(1199|800)
000000001296,695.082,764.3625,730.6792,796.2109,unknown,1.0,(1199|800)
000000001296,13.1148,1.8734,801.8736,1191.5062,person,1.0,(1199|800)
000000001296,490.8665,46.8359,768.1498,447.7516,person,1.0,(1199|800)
000000001353,140.8,688.636,548.2667,987.1159,train,1.0,(1066|800)
000000001353,456.5334,328.328,601.6,605.488,person,1.0,(1066|800)
000000001353,315.7334,289.952,480.0001,405.08,person,1.0,(1066|800)
000000001353,294.4,422.136,569.6,816.556,person,1.0,(1066|800)
000000001353,132.2667,454.116,381.8667,761.124,person,1.0,(1066|800)
000000001353,283.7333,383.76,450.1334,541.528,person,1.0,(1066|800)
000000001353,401.0667,388.024,471.4667,524.472,person,1.0,(1066|800)
000000001425,100.0,287.5,689.0625,631.25,unknown,1.0,(800|1000)
000000001425,759.375,284.375,1001.5625,600.0,unknown,1.0,(800|1000)
