BBOX: tensor([   0.0000,  266.0422, 1062.2391,  535.8314]), LABEL: aeroplane (ID: 0), PROB: 1.0
BBOX: tensor([653.8297, 505.8549, 668.8173, 547.0726]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 31.8484, 524.5901,  50.5828, 550.8197]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([219.1922, 505.8549, 243.5469, 543.3256]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 97.4187, 503.9813, 146.1281, 533.9579]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([151.7484, 477.7518, 217.3188, 513.3489]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([  0.0000, 427.1663, 103.0391, 462.7635]), LABEL: aeroplane (ID: 0), PROB: 1.0
BBOX: tensor([ 29.9750, 541.4520,  76.8109, 578.9227]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([140.5078, 507.7284, 194.8375, 535.8314]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([324.1047, 449.6487, 339.0922, 472.1312]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([232.3063, 468.3841, 243.5469, 481.4988]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([277.2688, 457.1429, 301.6234, 479.6253]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1199
