BBOX: tensor([ 258.5480,   88.0515,  702.5761, 1124.0625]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([625.7612, 254.7875, 798.1265, 895.5031]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 58.0796,  76.8109, 196.7213, 249.1672]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 224.8244, 1060.3656,  698.8291, 1197.1266]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([316.6277,  14.9875, 429.0398, 221.0656]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([644.4965, 131.1406, 689.4614, 281.0156]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 241.6862,  475.8531,  605.1522, 1184.0126]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([651.9907, 118.0266, 696.9556, 170.4828]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([434.6604, 119.9000, 496.4872, 209.8250]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([277.2834, 192.9641, 460.8900, 299.7500]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([468.3841, 161.1156, 498.3606, 202.3313]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([236.0656,  63.6969, 335.3630, 247.2937]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([685.7144, 118.0266, 751.2881, 286.6360]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 1199, 800
