BBOX: tensor([ 953.7937,   84.7059, 1204.0000,  592.9412]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([133.5688, 193.8824, 814.5812, 794.3530]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([677.2500, 257.8824, 859.7312, 530.8235]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([126.0437, 329.4117, 240.8000, 519.5294]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([ 955.6749,   86.5883, 1202.1188,  611.7647]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([253.9688,  90.3530, 728.0438, 754.8235]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([  0.0000, 131.7647, 161.7875, 792.4706]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([295.3562, 203.2941, 346.1500, 265.4118]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([718.6375, 137.4117, 775.0750, 178.8235]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([760.0250, 141.1765, 833.3937, 250.3530]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([837.1562, 150.5883, 944.3875, 440.4706]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([887.9500, 118.5882, 927.4562, 165.6470]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([203.1750, 199.5294, 306.6438, 517.6470]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([626.4562, 165.6470, 712.9937, 250.3529]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([852.2062, 112.9412, 897.3563, 212.7059]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([707.3500, 173.1765, 801.4125, 248.4706]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 47.0312, 423.5294, 150.5000, 583.5294]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([854.0875, 399.0588, 976.3688, 525.1765]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([912.4062, 167.5294, 959.4375, 224.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 52.6750,  96.0000, 105.3500, 190.1176]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([  50.7937,   33.8824, 1121.2250,  303.0588]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1204
