BBOX: tensor([ 876.1562,  428.5714, 1017.1031,  605.7143]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([750.4469, 367.6190, 822.8251, 478.0952]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([318.0828, 287.6191, 445.6968, 462.8571]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([405.6985, 259.0476, 523.7891, 419.0476]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([171.4219, 259.0476, 287.6078, 409.5238]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([158.0891, 184.7619, 264.7516, 276.1905]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([285.7031, 230.4762, 413.3172, 405.7143]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([420.9360, 207.6190, 529.5031, 417.1429]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 834.2531,  285.7143, 1007.5797,  563.8095]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([685.6875, 245.7143, 836.1578, 474.2857]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([832.3484, 154.2857, 916.1547, 240.0000]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1219
