BBOX: tensor([ 28.1484, 602.8169, 242.0766, 723.0046]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([ 733.7359,  471.3615, 1037.7390,  632.8638]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1033.9860,  535.2112, 1101.5421,  602.8169]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 88.1984, 411.2676, 840.7001, 600.9390]), LABEL: train (ID: 12), PROB: 1.0
BBOX: tensor([347.1641, 484.5070, 435.3625, 726.7606]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([420.3500, 510.7981, 465.3875, 672.3005]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([240.2000, 520.1878, 266.4719, 576.5258]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([273.9781, 507.0422, 328.3985, 623.4741]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([180.1500, 486.3849, 249.5828, 668.5446]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 80.6922, 512.6760, 191.4094, 676.0564]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1172.8516,  514.5540, 1202.8766,  612.2065]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1140.9500,  522.0657, 1170.9749,  615.9623]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1116.5547,  518.3098, 1140.9500,  610.3286]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([532.9437, 508.9202, 557.3390, 608.4507]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([328.3984, 510.7981, 371.5594, 664.7887]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([247.7063, 499.5305, 296.4969, 627.2300]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([153.8781, 507.0422, 172.6438, 535.2112]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([167.0141, 492.0188, 189.5328, 600.9390]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 90.0750, 555.8685, 120.1000, 585.9154]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([360.3000, 525.8216, 382.8188, 580.2816]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([200.7922, 473.2394, 765.6375, 621.5963]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1201
