BBOX: tensor([  0.0000, 517.3913, 128.1480, 697.8260]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([ 979.5720,  523.9130, 1088.1720,  700.0001]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([  10.8600,  345.6522, 1088.1720,  560.8696]), LABEL: train (ID: 12), PROB: 1.0
BBOX: tensor([110.7720,  86.9565, 134.6640, 165.2174]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 86.8800,  86.9565, 108.6000, 160.8696]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1005.6360,  245.6522, 1044.7319,  358.6956]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 962.1960,  102.1739, 1049.0759,  186.9565]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 52.1280, 219.5652,  99.9120, 343.4782]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 45.6120,  84.7826,  84.7080, 165.2174]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 968.7120,  223.9130, 1007.8080,  321.7391]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([175.9320, 476.0869, 221.5440, 632.6088]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([877.4880, 493.4782, 916.5840, 636.9565]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([225.8880, 393.4782, 273.6720, 447.8260]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([156.3840, 410.8695, 180.2760, 443.4782]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([121.6320, 406.5218, 152.0400, 443.4782]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([360.5520, 421.7391, 380.1000, 443.4782]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([907.8959, 423.9130, 938.3040, 458.6956]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([212.8560, 426.0869, 225.8880, 443.4782]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([760.2000, 426.0870, 771.0600, 452.1739]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([862.2841, 434.7826, 877.4880, 454.3478]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([946.9919, 434.7826, 964.3679, 456.5217]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1086
