BBOX: tensor([ 293.1500,  374.9999, 1062.6687,  683.3333]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([161.5656, 471.6667, 173.2250, 501.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([647.9280, 175.0000, 719.5499, 221.6666]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 78.2844,  66.6667, 103.2687,  88.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([846.1375,  83.3333, 916.0937, 118.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([619.6124, 251.6667, 639.5999, 273.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([916.0938, 366.6667, 931.0844, 380.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([911.0968, 400.0000, 931.0843, 413.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([567.9781, 316.6667, 597.9594, 353.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([866.1250, 235.0000, 916.0938, 310.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([817.8218, 133.3333, 959.4000, 286.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1021.0282,  368.3333, 1036.0187,  383.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1051.0094,  335.0000, 1067.6658,  360.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([116.5938, 481.6667, 128.2531, 500.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([907.7656, 225.0000, 951.0718, 268.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 63.2938, 256.6667, 971.0594, 501.6666]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1066
