BBOX: tensor([ 41.6562, 287.5000, 408.2313, 531.2500]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([626.9265, 360.4167, 893.5266, 506.2500]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([658.1688, 314.5833, 735.2328, 402.0833]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([726.9015, 327.0833, 814.3798, 402.0833]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([ 893.5266,  335.4167, 1041.4062,  512.5000]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([1053.9032,  329.1666, 1305.9235,  518.7500]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([878.9470, 339.5833, 916.4375, 391.6667]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([  0.0000, 327.0833,  83.3125, 360.4167]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([1243.4391,  397.9167, 1318.4203,  474.9999]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([1301.7578,  345.8333, 1335.0829,  412.5000]), LABEL: zebra (ID: 15), PROB: 1.0
IMAGE_INFO: 750, 1333
