BBOX: tensor([  0.0000, 466.6666, 681.0797, 741.6666]), LABEL: train (ID: 12), PROB: 1.0
BBOX: tensor([722.7360, 474.9999, 878.9469, 752.0833]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([631.0922, 524.9999, 710.2390, 745.8333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([516.5375, 545.8334, 606.0984, 747.9166]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([864.3672, 464.5833, 947.6797, 591.6666]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([681.0797, 502.0833, 733.1500, 660.4166]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([545.6968, 566.6666, 599.8500, 662.5000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([722.7360, 550.0000, 816.4625, 668.7500]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1224.6937,  364.5833, 1335.0829,  645.8333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 997.6673,  435.4167, 1066.4000,  595.8333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([624.8438, 562.5000, 674.8313, 662.5000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([881.0297, 566.6667, 993.5016, 739.5833]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([499.8750, 658.3333, 570.6906, 750.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([849.7875, 516.6666, 872.6985, 549.9999]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1049.7375,  402.0833, 1193.4514,  672.9166]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([812.2969, 466.6667, 858.1188, 558.3333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([785.2203, 464.5833, 828.9594, 552.0833]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([693.5766, 522.9167, 756.0610, 589.5833]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([710.2391, 631.2500, 758.1437, 708.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 991.4188,  520.8334, 1043.4891,  591.6666]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1053.9032,  554.1666, 1137.2157,  650.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([631.0922, 664.5833, 664.4172, 750.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([926.8516, 508.3333, 966.4250, 568.7499]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 945.5969,  420.8333, 1010.1641,  560.4166]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 750, 1333
