BBOX: tensor([1129.8093,  205.3790, 1251.0000,  311.0024]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([353.7984, 123.2274, 531.6750, 236.6748]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([715.4156, 103.6675, 817.0594, 213.2029]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([236.5172, 465.5256, 418.3031, 633.7408]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([154.4203, 422.4939, 322.5234, 506.6015]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([568.8140, 408.8020, 684.1406, 475.3056]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1149.3562,  567.2372, 1252.9548,  651.3447]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([729.0984, 395.1100, 844.4250, 512.4694]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([697.8234, 326.6504, 768.1922, 430.3178]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([734.9625, 219.0709, 815.1046, 297.3105]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([441.7593, 215.1589, 514.0828, 275.7946]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1251
