BBOX: tensor([ 93.3800, 413.5817, 341.5040, 512.3077]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([408.2040, 402.9086, 493.5800, 472.2836]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([768.3840, 408.2452, 907.1199, 464.2789]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1192.5958,  410.9135, 1280.6400,  461.6106]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([322.8280, 336.2019, 568.2840, 442.9327]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([144.0720, 389.5673, 245.4560, 552.3317]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1136.5680,  410.9135, 1219.2760,  453.6057]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 66.7000, 392.2356, 106.7200, 413.5817]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1016.5081,  408.2451, 1107.2200,  450.9375]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([664.3320, 421.5865, 693.6801, 450.9375]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([557.6120, 410.9135, 600.3000, 448.2692]), LABEL: car (ID: 5), PROB: 1.0
IMAGE_INFO: 555, 1334
