BBOX: tensor([494.6906, 664.9999, 674.5782, 801.6666]), LABEL: dog (ID: 8), PROB: 1.0
BBOX: tensor([148.2406, 741.6666, 304.8094, 801.6666]), LABEL: dog (ID: 8), PROB: 1.0
BBOX: tensor([677.9094, 313.3333, 769.5187, 446.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([696.2313, 295.0000, 824.4843, 478.3333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([298.1469, 564.9999, 812.8251, 788.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 53.3000, 121.6667, 128.2531, 205.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 388.3333,  36.6437, 443.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 271.6667,  43.3062, 290.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([473.0375, 318.3333, 509.6812, 346.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([636.2687, 346.6667, 659.5875, 353.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  9.9937, 145.0000,  54.9656, 201.6666]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 288.3333,  38.3094, 306.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([186.5500, 386.6667, 304.8094, 583.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([531.3344, 450.0000, 607.9531, 520.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([719.5500, 270.0000, 802.8312, 330.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([764.5219, 358.3333, 796.1688, 371.6667]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1066
