BBOX: tensor([714.5532, 451.6666, 896.1063, 570.0000]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([179.8875, 453.3333, 401.4156, 591.6666]), LABEL: zebra (ID: 15), PROB: 1.0
BBOX: tensor([719.5500, 250.0000, 724.5469, 260.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([556.3187, 245.0000, 561.3156, 250.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([611.2843, 243.3333, 617.9468, 255.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([541.3281, 231.6667, 549.6562, 241.6667]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([446.3875, 248.3333, 456.3813, 256.6667]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([429.7312, 240.0000, 439.7250, 245.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([692.9000, 243.3333, 702.8937, 251.6667]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([236.5188, 255.0000, 243.1813, 258.3333]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([226.5250, 240.0000, 233.1875, 245.0000]), LABEL: bird (ID: 2), PROB: 1.0
IMAGE_INFO: 800, 1066
